Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Georgia CP,Macalester WD,Solomon Watson,Aff,"LPack																																																												29.1																																																																																								ZCannon																																																												28.8","ADurbin																																																												28.7																																																																																								NWinters																																																												28.9"
Michigan State FM,UTD DD,Ben Biggs,Aff,"IFoster																																																												29.2																																																																																								HMartin																																																												29.1","JD'Antuono																																																												28.9																																																																																								JDickey																																																												29.0"
Northwestern AK,UTD HH,Addison Wagner,Aff,"AArceo																																																												28.8																																																																																								GKung																																																												28.7","AHumphrey																																																												28.9																																																																																								IHoch																																																												28.6"
Kentucky SR,George Mason RT,Maverick Edwards,Neg,"JRimpson																																																												29.0																																																																																								HSchedler																																																												29.1","DRichter																																																												29.2																																																																																								RTaxali																																																												29.3"
Georgetown LN,Northwestern AT,Gene Bressler,Neg,"LLastelick																																																												28.8																																																																																								ANanji																																																												29.0","BArney																																																												29.2																																																																																								ATahirkheli																																																												29.3"
Dartmouth BP,George Mason WW,Nate Martin,Neg,"SBen-Abdallah																																																												28.8																																																																																								EPark																																																												29.0","AWright																																																												29.1																																																																																								BWitkov																																																												28.9"
MoState DN,Kansas LS,Tiff Imbimbo,Neg,"ANeal																																																												28.8																																																																																								LDeAngelis																																																												28.7","LSchultz																																																												29.1																																																																																								RLarson																																																												29.0"
Kentucky GS,Michigan State GL,Aaron Fernando,Neg,"AGabay																																																												28.9																																																																																								RSlish																																																												28.8","JGusis																																																												29.1																																																																																								SLewis																																																												29.2"
Western Kentucky SS,George Mason RS,Alex McVey,Aff,"NSchintgen																																																												28.9																																																																																								JStPeter																																																												29.0","BReyes																																																												28.8																																																																																								AShananier																																																												28.7"
Emory ST,Baylor LP,Kevin Hirn,Neg,"MStearns																																																												28.9																																																																																								ETai																																																												29.0","YLi																																																												29.2																																																																																								TPhillips																																																												29.1"
Georgetown CA,CSU Long Beach OM,Beau Larsen,Aff,"CCowan																																																												29.8																																																																																								AAggarwal																																																												29.3","COrtega																																																												29.6																																																																																								DMedina																																																												29.5"
Michigan State JS,Kansas UA,Heather Hall,Neg,"ZJarman																																																												29.6																																																																																								GScully																																																												29.7","CAin																																																												29.8																																																																																								MUlven																																																												29.9"
