Team,Debaters,Mu,Sigma,Aff_Rounds,Neg_Rounds,Conservative
Kansas MR,Revare & Marshall,42.87,1.149,41,39,39.423
Emory GH,Gallagher & Hecht,41.779,1.153,34,38,38.32
Dartmouth BC,Bald & Cai,39.307,1.041,40,34,36.183
Michigan BP,Barrett & Park,39.236,1.081,36,36,35.994
Macalester PK,Price & Kochel,38.291,1.623,15,15,33.423
Kentucky AM,Adam & McBlain,37.884,1.102,34,32,34.579
Binghamton TC,T. Louis & Cohn,37.057,1.078,35,32,33.824
Northwestern DR,Deo & Rubin,37.053,1.078,33,35,33.82
Michigan State GL,Gusis & Lewis,37.043,1.118,32,30,33.689
CSU Long Beach OM,Ortega & Medina,36.789,1.132,29,30,33.392
Kansas LS,Schultz & Larson,36.533,1.251,26,26,32.779
Emory LY,Lobo & Yang,36.396,1.19,24,31,32.827
Georgetown CS,Sayers & Cowan,36.278,1.273,25,21,32.459
Harvard GY,Gines & Yeshitila,36.028,1.706,12,13,30.911
Northwestern PS,Pacconi & Souchet,35.63,1.373,19,22,31.511
Michigan ES (Esmailzadeh/Shetty),Esmailzadeh & Shetty,35.475,1.752,11,14,30.219
Michigan State MM,Miklovis & Montford,35.208,1.328,22,22,31.223
Wake Forest BM,Bressler & Mojica,35.152,1.158,27,29,31.678
Michigan SS,Shah & Shih,34.941,1.189,25,28,31.375
Emory CP,Conry & Piekut,34.066,1.235,25,25,30.361
West Georgia DK,Dal Pra & Keller,34.023,1.304,22,21,30.111
Emory GY,Geevarghese & Young,33.318,1.429,20,20,29.03
Dartmouth CaGu,Cai & Guddati,33.308,1.993,10,9,27.33
NYU MS,Makinde & Saigal,33.211,1.391,23,19,29.038
Emory MR,Rupp & Maxwell,33.195,1.255,24,23,29.429
Iowa AP,Parfenoff & Anderson McElligott,32.927,1.309,21,21,29.0
Emory KP,Pierce & Kim,32.888,1.243,23,26,29.16
Houston AK,Abad & Khan,32.843,1.74,11,12,27.623
Wake Forest LS,Leverett & Sencion,32.591,1.202,24,24,28.985
Georgia IP,Ippagunta & Potdar,32.446,1.691,13,12,27.373
Kansas SH,Hato & Suleman,32.369,2.161,8,8,25.885
