Team,Debaters,Mu,Sigma,Aff_Rounds,Neg_Rounds,Conservative
Emory GY,Gallagher & Young,44.066,2.793,7,6,35.686
Michigan ES,Esmailzadeh & Shah,43.213,2.801,6,5,34.81
Michigan BS,Barrett & Song,40.134,2.965,5,5,31.239
Kansas UO,Ulven & Owings,39.413,2.785,4,5,31.058
UC Berkeley BM,Boguslavsky & Modi,38.143,2.743,6,6,29.914
Emory SY,Stumpff & Yang,37.221,2.41,6,5,29.992
Wake Forest BS,Brown & Sencion,37.066,2.862,6,5,28.479
Michigan CS,Chamarthy & Shetty,37.037,2.555,5,5,29.372
Michigan State LM,Lewis & Martin,35.912,2.637,4,6,28.001
Northwestern LT,Li & Tahirkheli,34.45,2.545,5,5,26.814
Macalester KS,Kochel & Schaffhausen,34.355,2.784,5,5,26.003
UTD DH,Dickey & Hale,34.133,2.514,5,5,26.592
Iowa EW,Eltyeb & Weimar,33.82,2.471,5,5,26.405
Kansas FB,Falin & Blaser,33.82,2.788,5,4,25.455
Dartmouth CG,Cai & Goldberg,33.248,2.409,4,5,26.021
Wake Forest LP,Leverett & Patel,33.04,2.642,4,5,25.113
Kansas SS,Shaw & Suleman,32.768,2.858,5,5,24.195
Northwestern LP,Leonard & Peng,32.515,3.026,5,4,23.438
Texas AG,Ali & Gade,32.448,2.931,4,4,23.653
Iowa PK,Parfenoff & Kleiman,32.354,2.514,5,5,24.814
Harvard HL,Howard & Li,32.278,2.894,4,5,23.596
Harvard DS,Deshpande & Sridharan,32.175,2.625,5,4,24.302
Wichita State MG,Griffith & Mallett,31.973,4.766,1,2,17.674
Michigan GV,George & Vadathavoor,31.541,3.207,4,4,21.92
Northwestern JP,Jayaratne & Patterson,31.45,2.945,4,5,22.616
Dartmouth JT,Jones & Tapia,31.129,2.776,5,4,22.799
George Mason DC,Davis & clough,31.067,2.935,4,4,22.263
Western Kentucky NI,Niendorf & Ingram,31.044,2.558,6,5,23.37
Michigan State JS,Jarman & Shehzad,31.013,2.499,4,5,23.515
Michigan AO,Agustin & Ou,30.931,2.593,4,4,23.153
Liberty CL,Cunningham & Layton,30.794,2.52,4,5,23.235
Texas AL,Low & Andrew,30.791,4.207,2,2,18.169
CSU Long Beach EM,Escobar & Medina,30.706,2.48,4,5,23.267
Michigan AC,Almand & Chalamalasetti,30.697,3.091,3,4,21.424
Emory AT,Aggarwal & Taylor,30.438,2.723,4,4,22.268
Harvard GM,Gheith & Mazumdar,30.378,3.302,4,4,20.473
